Name,Commercial Type,Price,sq metres,Neighbourhood
"Unit E9 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1052,Dublin 11
"Units A7A & A7B North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1864,Dublin 11
"Unit E10 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1587,Dublin 11
"Unit E11 North City Business Park, North Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,1444,Dublin 11
Units E12,Industrial Unit To Let or For Sale,,959,Units E12
"""Condor House"", Dublin AirPort Logistics Park, St. Margaret's Road, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,2718,Dublin 11
"9 Church Street, Finglas, Dublin 11",Investment Property For Sale,430000,,Dublin 11
"5a McKee Ave, Finglas, Dublin 11",Retail Unit For Sale,170000,43,Dublin 11
"Heron House, Dublin Airport Logistics Park, St Margaret's Road, Finglas, Dublin 11",Industrial Unit For Sale,,4530,Dublin 11
"Unit A6 North City Business Park, Finglas, Dublin 11",Industrial Unit To Let or For Sale,,3716,Dublin 11
"6 Church Street, Finglas, Dublin 11",Investment Property For Sale,395000,149,Dublin 11
"17 Willow Park Road, Glasnevin, Dublin 11",Investment Property For Sale,425000,123,Dublin 11
"Coldwinters, North Road, Finglas, Dublin 11",Development Land For Sale,245000,,Dublin 11
"12a Grove Road, Finglas, Dublin 11",Retail Unit For Sale,350000,174,Dublin 11
"151A Crumlin Road, Crumlin, Dublin 12",Development Land For Sale,85000,,Dublin 12
